,Source Account,Date,Structured Timestamp,Tweets Ago,Tweet Text,Tweet Category,Compound,Positive,Neutral,Negative
102,CBS,Thu Aug 02 01:04:30 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=2, tm_hour=1, tm_min=4, tm_sec=30, tm_wday=3, tm_yday=214, tm_isdst=-1)",3,"Spotify removes episodes of podcast hosted by Alex Jones, says they include hate speech https://t.co/yczjj3RubJ https://t.co/raovydqqO2",Other,-0.5719,0.0,0.802,0.198
103,CBS,Thu Aug 02 00:44:55 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=2, tm_hour=0, tm_min=44, tm_sec=55, tm_wday=3, tm_yday=214, tm_isdst=-1)",4,Employee at shelter for immigrant kids accused of molesting girl https://t.co/esyFtn9MCL https://t.co/4bYS2UgrEw,Other,-0.7184,0.0,0.625,0.375
104,CBS,Thu Aug 02 00:25:15 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=2, tm_hour=0, tm_min=25, tm_sec=15, tm_wday=3, tm_yday=214, tm_isdst=-1)",5,Police ID suspect in killing of George H.W. Bush's doctor https://t.co/dIwuyWL60N https://t.co/zSRINMvcQi,Disaster/War,-0.765,0.0,0.602,0.398
105,CBS,Thu Aug 02 00:04:41 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=2, tm_hour=0, tm_min=4, tm_sec=41, tm_wday=3, tm_yday=214, tm_isdst=-1)",6,"Medal known as ""Nobel for mathematics"" stolen minutes after awarded to refugee https://t.co/m1wixJ6ETE https://t.co/goItByd62T",Disaster/War,0.3818,0.29,0.55,0.16
106,CBS,Wed Aug 01 23:43:02 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=43, tm_sec=2, tm_wday=2, tm_yday=213, tm_isdst=-1)",7,WATCH: Remains of the fallen U.S. soldiers from Korean War escorted by military personnel. https://t.co/Ivxbw4u3zr https://t.co/1wrRn0epnI,Disaster/War,-0.7506,0.0,0.686,0.314
107,CBS,Wed Aug 01 23:38:54 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=38, tm_sec=54, tm_wday=2, tm_yday=213, tm_isdst=-1)",8,"""We pledge to you that we will never stop striving until every hero lost in the Korean war is home,"" says VP Mike P… https://t.co/vvVofe4zsM",Disaster/War,-0.1808,0.168,0.642,0.19
108,CBS,Wed Aug 01 23:34:21 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=34, tm_sec=21, tm_wday=2, tm_yday=213, tm_isdst=-1)",9,"""We see today as tangible progress in our attempts to achieve peace [with North Korea], but today's just the beginn… https://t.co/7zbfxRf74p",Other,0.4854,0.179,0.821,0.0
109,CBS,Wed Aug 01 23:33:32 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=33, tm_sec=32, tm_wday=2, tm_yday=213, tm_isdst=-1)",10,"RT @CBSEveningNews: Aeromexico crash survivor: ""First thing I did was drink a big, big, big shot of tequila. I'm not gonna lie. I went to t…",Disaster/War,-0.0516,0.095,0.802,0.103
110,CBS,Wed Aug 01 23:31:46 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=31, tm_sec=46, tm_wday=2, tm_yday=213, tm_isdst=-1)",11,"""Some have called the Korean War the 'forgotten war,' but today we prove these heroes were never forgotten,"" Pence… https://t.co/MSMVqUaOWb",Disaster/War,0.3716,0.176,0.671,0.154
111,CBS,Wed Aug 01 23:28:41 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=28, tm_sec=41, tm_wday=2, tm_yday=213, tm_isdst=-1)",12,WATCH NOW: Vice Pence speaks at ceremony in Hawaii as remains of U.S. soldiers who fought in Korean War return home… https://t.co/OuHX8AieFD,Disaster/War,-0.7351,0.0,0.763,0.237
